the	1089
a	697
of	427
and	376
to	336
is	199
in	169
circuit	161
an	161
for	148
first	142
signal	133
voltage	117
second	112
output	101
by	89
input	85
with	73
that	67
signals	64
current	59
or	59
be	59
from	59
on	58
are	58
one	56
test	55
device	55
at	53
amplifier	50
power	49
phase	45
which	45
stage	43
data	42
may	41
coupled	40
includes	40
control	38
plurality	35
between	34
as	34
each	33
clock	33
logic	33
having	32
connected	32
reference	30
can	30
element	30
has	29
provided	29
probe	28
level	27
comprises	26
method	26
function	26
semiconductor	25
time	25
line	24
bias	24
when	24
transistor	24
frequency	24
least	23
high	23
integrated	23
path	22
transistors	22
supply	22
system	22
conductors	21
differential	21
magnetic	20
active	20
low	20
pull	20
contact	19
sample	19
apparatus	19
under	18
switching	18
value	18
position	18
also	17
based	17
substrate	17
detection	16
said	16
envelope	16
array	16
further	16
number	16
circuits	16
off	16
pin	16
electronic	15
ground	15
chamber	15
field	15
operating	15
through	15
comprising	15
gain	15
portion	15
gate	14
parallel	14
such	14
electrical	14
generated	14
capacitor	14
response	14
set	14
configuration	14
noise	14
two	13
node	13
sensor	13
card	13
potential	13
pair	13
disclosed	13
being	13
variable	13
movement	13
cell	13
source	13
block	13
elements	13
this	13
lines	13
state	13
pulse	12
third	12
then	12
series	12
used	12
tool	12
object	12
boring	12
devices	12
drive	12
formed	12
resistance	12
during	12
configured	12
within	12
wafer	12
including	12
controlled	12
auxiliary	12
end	11
side	11
down	11
oscillator	11
produce	11
than	11
pad	11
components	11
provides	11
impedance	11
invention	11
measurement	11
shifter	11
cover	11
generating	11
wherein	11
into	11
include	11
blocks	11
mode	11
electrically	11
programmable	11
detector	11
means	11
surface	11
point	11
driving	10
testing	10
adapted	10
port	10
adjustable	10
so	10
non	10
constant	10
specimen	10
corresponding	10
fixture	10
generate	10
use	10
up	10
transmission	10
material	10
vco	10
present	10
display	10
adjusting	9
provide	9
boosting	9
it	9
transformer	9
transconductance	9
digital	9
head	9
relative	9
region	9
period	9
driver	9
generator	9
using	9
assembly	9
compliant	9
antenna	9
cursor	9
component	9
ports	9
x	9
both	9
capacitance	9
depth	9
serial	9
embodiment	9
delay	9
out	9
sensing	9
changes	8
unit	8
conductive	8
apodized	8
roll	8
not	8
2	8
buffer	8
amplifying	8
where	8
tuning	8
predetermined	8
more	8
interconnect	8
internal	8
scanning	8
resonance	8
amplified	8
intermediate	8
terminal	8
computer	8
equal	8
thus	8
coupling	8
nmr	7
selected	7
supplied	7
obstacle	7
detecting	7
thereon	7
correction	7
applied	7
board	7
form	7
amplification	7
memory	7
conductor	7
outputs	7
quarter	7
receiving	7
turned	7
only	7
distortion	7
lna	7
external	7
orientation	7
same	7
speed	7
difference	7
mounted	7
respective	7
plane	7
base	7
analog	7
error	7
contacts	7
characteristic	7
associated	7
application	7
excitation	7
resonant	7
desired	7
receive	7
static	7
pattern	7
ramp	7
adjusted	7
connection	7
other	7
force	6
obtained	6
network	6
rf	6
another	6
section	6
microscope	6
capacity	6
three	6
cycle	6
trimming	6
steps	6
stages	6
along	6
liquid	6
switch	6
thereby	6
multiple	6
threshold	6
different	6
measuring	6
allows	6
paper	6
detected	6
temperature	6
measured	6
locating	6
simple	6
cut	6
cascode	6
range	6
process	6
arrangement	6
dielectric	6
baseboard	6
membrane	6
addition	6
inductance	6
battery	6
placed	6
circuitry	5
errors	5
capacitors	5
feedback	5
production	5
strength	5
band	5
transient	5
primary	5
approximately	5
flow	5
10	5
received	5
adapter	5
specific	5
support	5
width	5
push	5
switched	5
environment	5
th_s	5
pll	5
following	5
stream	5
fourth	5
parameter	5
pitch	5
main	5
space	5
sampling	5
characteristics	5
allocation	5
drain	5
without	5
manipulator	5
vcc1	5
determine	5
area	5
included	5
via	5
resonator	5
controlling	5
its	5
operation	5
tft	5
slots	5
gas	5
solid	5
loop	5
currents	5
fast	5
forward	5
jacks	5
opposing	5
wave	5
electron	5
respectively	5
next	5
fet	5
windings	5
light	5
multiplexer	5
produces	5
clusters	5
additional	5
amplitude	5
providing	5
have	5
mechanism	5
timing	5
h	5
